subject	opponent	level	statistic	delta	ci_lo	ci_hi	p	q	significant
cabid	bitdensity_tgt	family	auprc	0.0604142436707501	0.05276923974386627	0.06706651041461102	0.001	0.0018947368421052633	True
cabid	bitdensity_tgt	superfamily	r99	0.01536275288709077	-0.0023686559442239225	0.04079425541379064	0.1	0.13846153846153847	False
cabid	bitdensity_tgt	superfamily	auprc	0.05965568801359472	0.048593498255100606	0.06980535567780195	0.001	0.0018947368421052633	True
cabid	bits	family	r99	0.21085382422063537	0.1467700951455664	0.2515283263233933	0.001	0.0018947368421052633	True
cabid	bits	family	auprc	0.019942370929622477	0.013544857002649882	0.026472078284928514	0.001	0.0018947368421052633	True
cabid	bits	superfamily	r99	0.04759563211771069	0.03544902517533041	0.08318474003382094	0.001	0.0018947368421052633	True
cabid	bits	superfamily	auprc	0.005001316304345249	-0.004266747163897281	0.014617869256115534	0.31	0.3915789473684211	False
cabid	foldseek_tm	family	r99	0.04405236625427561	-0.0020886486886762526	0.13896996776881027	0.054	0.07776	False
cabid	foldseek_tm	family	auprc	0.005724062373500094	-0.003493368543224326	0.01498606143031216	0.256	0.3291428571428572	False
cabid	foldseek_tm	superfamily	r99	0.007775429883304277	-0.023924311797453118	0.06916407282730376	0.556	0.6065454545454546	False
cabid	foldseek_tm	superfamily	auprc	-0.04191746277641317	-0.058255603474682664	-0.02451156062873732	0.001	0.0018947368421052633	True
cabid	tmalign	family	r99	0.12062814133711874	0.033666589920557176	0.18855992915694078	0.001	0.0018947368421052633	True
cabid	tmalign	family	auprc	0.015361831324398834	0.004494940332186956	0.026565240632218424	0.004	0.006697674418604652	True
cabid	tmalign	superfamily	r99	0.03534517498855102	-0.004222885164620065	0.0773028537742974	0.124	0.16845283018867926	False
cabid	tmalign	superfamily	auprc	-0.02017139436042137	-0.038041731669668094	-0.0014227208236077158	0.036	0.05289795918367346	False
bitdensity	cabid_sym	family	r99	-0.010907407516255185	-0.04773112291860826	0.03419385640309428	0.77	0.7919999999999999	False
bitdensity	cabid_sym	family	auprc	-0.06664817223653563	-0.07468560526986955	-0.05901338132443154	0.001	0.0018947368421052633	True
bitdensity	cabid_sym	superfamily	r99	0.0001815144976562294	-0.022153704326154103	0.03273901915044576	0.754	0.7919999999999999	False
bitdensity	cabid_sym	superfamily	auprc	-0.041044696390706015	-0.05304055622961219	-0.028606674016716085	0.001	0.0018947368421052633	True
bitdensity	cabid	family	r99	0.0007356356842985745	-0.03974275625407482	0.04595811138646828	0.958	0.958	False
bitdensity	cabid	family	auprc	-0.05826907673043724	-0.06682966903773799	-0.050626042799579905	0.001	0.0018947368421052633	True
bitdensity	cabid	superfamily	r99	0.0179841513271468	-0.01927708503197643	0.03811380066543115	0.474	0.5618360655737704	False
bitdensity	cabid	superfamily	auprc	-0.02703848009066695	-0.038919367967863557	-0.015394828865542233	0.001	0.0018947368421052633	True
bitdensity	bitdensity_tgt	family	r99	0.04698004002698014	0.02025480785204025	0.11356554724828483	0.001	0.0018947368421052633	True
bitdensity	bitdensity_tgt	family	auprc	0.0021451669403128593	-0.004697853585659819	0.009085214493761241	0.54	0.5981538461538461	False
bitdensity	bitdensity_tgt	superfamily	r99	0.03334690421423757	0.004041252089071977	0.0594423173697318	0.034	0.05100000000000001	False
bitdensity	bitdensity_tgt	superfamily	auprc	0.03261720792292777	0.02313576355262225	0.04334205275828247	0.001	0.0018947368421052633	True
bitdensity	bits	family	r99	0.21158945990493394	0.141719842367308	0.2576914797216005	0.001	0.0018947368421052633	True
bitdensity	bits	family	auprc	-0.038326705800814764	-0.04886772653424876	-0.027531906347924063	0.001	0.0018947368421052633	True
bitdensity	bits	superfamily	r99	0.06557978344485749	0.04188148675009721	0.08901749549196167	0.001	0.0018947368421052633	True
bitdensity	bits	superfamily	auprc	-0.0220371637863217	-0.03654237033162937	-0.00660197455033783	0.004	0.006697674418604652	True
bitdensity	foldseek_tm	family	r99	0.044788001938574185	0.008130932207483609	0.14760205329258497	0.028	0.042893617021276594	True
bitdensity	foldseek_tm	family	auprc	-0.05254501435693715	-0.06271532632369839	-0.04223659041826468	0.001	0.0018947368421052633	True
bitdensity	foldseek_tm	superfamily	r99	0.025759581210451077	-0.015522028656837899	0.07474323501124852	0.186	0.248	False
bitdensity	foldseek_tm	superfamily	auprc	-0.06895594286708012	-0.08499221905674188	-0.05244769291653352	0.001	0.0018947368421052633	True
bitdensity	tmalign	family	r99	0.12136377702141732	0.04138996506920018	0.1881000590447663	0.001	0.0018947368421052633	True
bitdensity	tmalign	family	auprc	-0.04290724540603841	-0.0546569480570418	-0.031732531331903846	0.001	0.0018947368421052633	True
bitdensity	tmalign	superfamily	r99	0.05332932631569782	0.00862722389227473	0.07993413860065886	0.01	0.016	True
bitdensity	tmalign	superfamily	auprc	-0.04720987445108832	-0.0655194276069336	-0.029479467471209827	0.001	0.0018947368421052633	True
