a	model	nth	tp_pooled
0.7	Xa_cov70	6	12486
0.725	Xa_cov70	6	13092
0.75	Xa_cov70	6	13635
0.775	Xa_cov70	6	14072
0.8	Xa_cov70	6	14301
0.825	Xa_cov70	6	14667
0.85	Xa_cov70	6	15245
0.875	Xa_cov70	6	15879
0.9	Xa_cov70	6	15881
0.925	Xa_cov70	6	15530
0.95	Xa_cov70	6	15221
0.975	Xa_cov70	6	14539
1.0	Xa_cov70	6	13931
1.1	Xa_cov70	6	11766
1.2	Xa_cov70	6	9579
1.3	Xa_cov70	6	7613
1.4	Xa_cov70	6	6115
1.5	Xa_cov70	6	4968
0.0	Xa_ktcov	1	3866
0.1	Xa_ktcov	1	4187
0.2	Xa_ktcov	1	4655
0.3	Xa_ktcov	1	5279
0.4	Xa_ktcov	1	6360
0.5	Xa_ktcov	1	7913
0.525	Xa_ktcov	1	8298
0.55	Xa_ktcov	1	8710
0.575	Xa_ktcov	1	9152
0.6	Xa_ktcov	1	9613
0.625	Xa_ktcov	1	10117
0.65	Xa_ktcov	1	10687
0.675	Xa_ktcov	1	10079
0.7	Xa_ktcov	1	9116
0.725	Xa_ktcov	1	8250
0.75	Xa_ktcov	1	7454
0.775	Xa_ktcov	1	6680
0.8	Xa_ktcov	1	5957
0.825	Xa_ktcov	1	5310
0.85	Xa_ktcov	1	4703
0.875	Xa_ktcov	1	4099
0.9	Xa_ktcov	1	3588
0.925	Xa_ktcov	1	3114
0.95	Xa_ktcov	1	2700
0.975	Xa_ktcov	1	2331
1.0	Xa_ktcov	1	1957
1.1	Xa_ktcov	1	939
1.2	Xa_ktcov	1	419
1.3	Xa_ktcov	1	194
1.4	Xa_ktcov	1	33
1.5	Xa_ktcov	1	0
0.0	Xa_ktcov	2	3966
0.1	Xa_ktcov	2	4617
0.2	Xa_ktcov	2	5257
0.3	Xa_ktcov	2	5787
0.4	Xa_ktcov	2	6646
0.5	Xa_ktcov	2	7959
0.525	Xa_ktcov	2	8440
0.55	Xa_ktcov	2	8998
0.575	Xa_ktcov	2	9562
0.6	Xa_ktcov	2	10171
0.625	Xa_ktcov	2	10821
0.65	Xa_ktcov	2	11106
0.675	Xa_ktcov	2	11244
0.7	Xa_ktcov	2	11876
0.725	Xa_ktcov	2	12550
0.75	Xa_ktcov	2	12079
0.775	Xa_ktcov	2	10970
0.8	Xa_ktcov	2	9999
0.825	Xa_ktcov	2	9074
0.85	Xa_ktcov	2	8212
0.875	Xa_ktcov	2	7398
0.9	Xa_ktcov	2	6617
0.925	Xa_ktcov	2	5909
0.95	Xa_ktcov	2	5221
0.975	Xa_ktcov	2	4580
1.0	Xa_ktcov	2	4038
1.1	Xa_ktcov	2	2247
1.2	Xa_ktcov	2	1195
1.3	Xa_ktcov	2	282
1.4	Xa_ktcov	2	35
1.5	Xa_ktcov	2	1
0.0	Xa_ktcov	3	4761
0.1	Xa_ktcov	3	4996
0.2	Xa_ktcov	3	5402
0.3	Xa_ktcov	3	6094
0.4	Xa_ktcov	3	7127
0.5	Xa_ktcov	3	8633
0.525	Xa_ktcov	3	9081
0.55	Xa_ktcov	3	9536
0.575	Xa_ktcov	3	10002
0.6	Xa_ktcov	3	10554
0.625	Xa_ktcov	3	11115
0.65	Xa_ktcov	3	11531
0.675	Xa_ktcov	3	12305
0.7	Xa_ktcov	3	12982
0.725	Xa_ktcov	3	13210
0.75	Xa_ktcov	3	13232
0.775	Xa_ktcov	3	13962
0.8	Xa_ktcov	3	14196
0.825	Xa_ktcov	3	14082
0.85	Xa_ktcov	3	14009
0.875	Xa_ktcov	3	13950
0.9	Xa_ktcov	3	12340
0.925	Xa_ktcov	3	10819
0.95	Xa_ktcov	3	9407
0.975	Xa_ktcov	3	8164
1.0	Xa_ktcov	3	6997
1.1	Xa_ktcov	3	3359
1.2	Xa_ktcov	3	1214
1.3	Xa_ktcov	3	301
1.4	Xa_ktcov	3	98
1.5	Xa_ktcov	3	6
0.0	Xa_ktcov	4	4762
0.1	Xa_ktcov	4	5026
0.2	Xa_ktcov	4	5449
0.3	Xa_ktcov	4	6351
0.4	Xa_ktcov	4	7371
0.5	Xa_ktcov	4	8808
0.525	Xa_ktcov	4	9219
0.55	Xa_ktcov	4	9630
0.575	Xa_ktcov	4	10090
0.6	Xa_ktcov	4	10600
0.625	Xa_ktcov	4	11140
0.65	Xa_ktcov	4	11714
0.675	Xa_ktcov	4	12341
0.7	Xa_ktcov	4	13019
0.725	Xa_ktcov	4	13639
0.75	Xa_ktcov	4	14277
0.775	Xa_ktcov	4	14306
0.8	Xa_ktcov	4	14713
0.825	Xa_ktcov	4	14572
0.85	Xa_ktcov	4	14403
0.875	Xa_ktcov	4	14058
0.9	Xa_ktcov	4	13241
0.925	Xa_ktcov	4	11560
0.95	Xa_ktcov	4	10083
0.975	Xa_ktcov	4	8698
1.0	Xa_ktcov	4	7432
1.1	Xa_ktcov	4	3469
1.2	Xa_ktcov	4	1361
1.3	Xa_ktcov	4	440
