cv_fold	a	model	level	auprc	max_recall	recall@P99	recall@P95	recall@P90	tp_before_1st_global_fp
4	0.1	Xa	fold	0.0216485774818938	0.8273859860138809	4.168577264579599e-05	4.168577264579599e-05	4.168577264579599e-05	1563
4	0.1	Xa	superfamily	0.3914042627537183	0.9096331114720246	0.0634475137524561	0.1500348101184794	0.2213051411066701	1563
4	0.1	Xa_cov70	family	0.7377970450468785	0.954635469738783	0.4452486414129938	0.6419137922735646	0.6861985402594019	1535
4	0.1	Xa_cov70	fold	0.0306638453482744	0.8273859860138979	4.168577264579599e-05	4.168577264579599e-05	4.168577264579599e-05	1535
4	0.1	Xa_cov70	superfamily	0.3711175629375604	0.9096331114720364	0.0570315935590232	0.1355760679880828	0.2332234456466295	1535
4	0.1	Xa_ktcov	family	0.7971748437430934	0.954635469738781	0.4644001775440914	0.6609281113917298	0.7221807156655454	1552
4	0.1	Xa_ktcov	fold	0.0278442903476542	0.8273859860138434	4.168577264579599e-05	4.168577264579599e-05	4.168577264579599e-05	1552
4	0.1	Xa_ktcov	superfamily	0.4101050876739592	0.9096331114720266	0.0638876012392326	0.156000532363597	0.2350555077123728	1552
4	0.1	sym_max	family	0.795583925580994	0.9546354697387804	0.4526640327951555	0.6491915760531956	0.7139469039660651	1559
4	0.1	sym_max	fold	0.0259465287562492	0.8273859860138645	4.168577264579599e-05	4.168577264579599e-05	4.168577264579599e-05	1559
4	0.1	sym_max	superfamily	0.4068070548365598	0.9096331114720272	0.0626337353018071	0.1460063273765353	0.228488125881668	1559
4	0.1	sym_mean	family	0.8000322347953104	0.9546354697387808	0.4573359599051012	0.6625903016732289	0.7213651730956573	1564
4	0.1	sym_mean	fold	0.029365128679715	0.8273859860138686	4.168577264579599e-05	4.168577264579599e-05	4.168577264579599e-05	1564
4	0.1	sym_mean	superfamily	0.4152980734777408	0.909633111472031	0.0639168640700659	0.1450160688429637	0.2307163185019532	1564
4	0.1	sym_min	family	0.8012576742749473	0.9546354697387812	0.4597413365340645	0.664583085871331	0.727056517909053	1575
4	0.1	sym_min	fold	0.0311963510759612	0.827385986013869	4.168577264579599e-05	4.168577264579599e-05	4.168577264579599e-05	1575
4	0.1	sym_min	superfamily	0.4180679797272124	0.9096331114720332	0.0656079712309066	0.1445976318248117	0.2355786015301822	1575
0	0.2	Xa	family	0.7769188280478305	0.9541629584556414	0.4596206350572137	0.6444565760825708	0.6978100577731391	1285
0	0.2	Xa	fold	0.0118651332006594	0.8186606583905363	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1285
0	0.2	Xa	superfamily	0.3803361688951454	0.9038053622225068	0.0642439887275864	0.1616109348871102	0.2171471948927749	1285
0	0.2	Xa_cov70	family	0.7366005938771831	0.9541629584556436	0.474880026570107	0.6455553507592164	0.6856285217825815	1257
0	0.2	Xa_cov70	fold	0.0212613458273965	0.8186606583906331	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1257
0	0.2	Xa_cov70	superfamily	0.370269619189982	0.9038053622225076	0.0595398080376245	0.1566239913620875	0.2241695173945823	1257
0	0.2	Xa_ktcov	family	0.7911671995749131	0.954162958455642	0.4507722175930874	0.6655028237224271	0.7170956484346074	1270
